source	sha256	bytes
results/v2/human_validation/frozen21_human_PD_summary.tsv	f180ec0d8255d969ddcfb64b7179c5e1c0a0bcadc53fd61ca0a712fa6a66f2b2	133
results/v2/human_validation/frozen21_matched_null_summary.tsv	cedf565f20d037da626d4fb100b1fa12f19153dadc3dcb3645a5d3661b0fbae2	269
results/v2/gse46798/GSE46798_module_tests.tsv	ff38e4941dcd1e15599dc651d7257476ba3c91b09d3755b6f217a25c1c11d3c3	3366
results/v2/gse17542_sn_vta/GSE17542_SN_VTA_module_tests.tsv	d5f9f767706d4b62722c55d992d911788cd9864e6e49ec4d3715a6581068b536	5994
results/v2/continuous_network_test/continuous_network_predictive_summary.tsv	f3e9fbdc72be3daef6dc374cb566876b27a7af04e1daaedd3c68bdb6d3815396	655
results/v2/reactome_convergence/Reactome_targeted_PD_family.tsv	8670bc1fbb363b1cf7ff90bbc4a12fbadec936f87f253cac6a31cfd2da9036da	3544
results/v2/reactome_convergence/Reactome_strict_three_model_recurrence.tsv	2cd86a03091378bafa9e95c3f2d12080d64d93fd2f15195b362c9f54187e9e8e	1558
results/v2/gse116280_rotenone/GSE116280_proteasome_all_contrasts.tsv	8b388acaae7f3642690e87985ab5c9ee6f95fa5f49f8ff07809f7626311d493c	1199
results/v2/gse150005_multitoxicant/GSE150005_proteasome_CAMERA_summary.tsv	303b7935ae01ca1066d691596cf92cef0b67a0858ffab06e4dfff82f9e95db15	982
results/v2/gse196190_heldout/GSE196190_primary_mechanism_result.tsv	ae900782a66b1d5af4e5edc339f05cab1a62f14a6e546870f6b49e54f2cf05d7	548
results/v2/heldout_external_sensitivity/external_sensitivity_primary_union_results.tsv	0320283bf6e047a02307ed057df32afd318d9625095c531de83a4d9c2750efc0	532
results/v2/heldout_external_sensitivity/GSE4773_primary_union_sensitivity.tsv	72829e8ea3d6888b37529fd5e155378e1b326e9daca4c3df2fd3c4f59e7fda8d	631
results/v2/human_sn_proteasome/donor_pathway_scores.tsv	894fcca7e35d7898caf86baf321814c811795a76a0deafa8faba423c83ddd923	15498
results/v2/human_sn_proteasome/pathway_model_results.tsv	dfbd2429472ce397eec9db96b525f52eafa240d1daefe6aa255d525bf93d4173	2100
results/v2/human_sn_proteasome/validation_summary.tsv	2eb35807c8706b93bae29fece04acb0945209661da73e0621c9ef985012c034a	328
